Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Quarter,Week,Is_Year_End,Holiday_Flag_missing
1,2011-12-09,,0,43.93,3.158,218.9618456,7.866,2011,12,4,49,1,1
20,2010-12-31,1799737.79,1,28.85,3.179,204.6432267,7.484,2010,12,4,52,1,0
19,2012-06-22,1468350.36,0,,3.722,138.1629,8.15,2012,6,2,25,0,0
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,,2010,2,1,7,0,0
13,2012-01-20,1811606.21,0,32.71,,130.27922579999998,6.104,2012,1,1,3,0,0
11,2010-11-26,1757242.51,1,69.9,2.735,215.0614025,7.564,2010,11,4,47,0,0
15,2010-02-19,660838.75,0,,2.909,131.637,,2010,2,1,7,0,0
7,2012-04-20,457340.06,0,39.3,3.936,197.7227385,8.09,2012,4,2,16,0,0
19,2012-04-13,,0,44.42,4.187,137.868,8.15,2012,4,2,15,0,0
9,2010-06-18,513073.87,0,82.99,2.637,215.0166484,6.384,2010,6,2,24,0,1
14,2011-01-07,1864746.1,0,34.32,3.193,182.5983058,,2011,1,1,1,0,0
8,2010-09-17,836707.85,0,75.32,2.582,214.8785562,6.315,2010,9,3,37,0,0
5,2011-07-29,275142.17,0,89.42,3.682,216.0464364,6.529,2011,7,3,30,0,0
7,2012-09-07,597876.55,1,57.84,3.596,198.0950484,7.872000000000001,2012,9,3,36,0,0
1,2011-05-27,1466046.67,0,,3.786,215.5037878,7.682,2011,5,2,21,0,0
19,2011-06-10,1467473.63,0,68.26,,134.94254840000002,7.657999999999999,2011,6,2,23,0,0
3,2011-11-18,398838.97,0,63.91,3.3080000000000003,221.6432852,7.197,2011,11,4,46,0,0
8,2011-07-22,,0,85.46,3.651,218.8328475,6.425,2011,7,3,29,0,0
16,2010-07-09,614253.33,0,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010,7,3,27,0,0
13,2011-08-12,1970341.38,0,75.95,3.606,129.2015806,6.877000000000002,2011,8,3,32,0,0
18,,1048134.24,0,73.25,3.84,138.1857097,8.535,,,,,0,0
13,2012-03-16,2025582.62,0,52.5,3.529,130.82619350000002,6.104,2012,3,1,11,0,0
17,2010-11-12,855459.96,0,,2.8310000000000004,126.5461613,,2010,11,4,45,0,0
4,2011-07-22,2036231.39,0,82.84,3.627,129.1507742,5.644,2011,7,3,29,0,0
1,2010-09-24,,0,80.94,,211.5972246,7.787000000000001,2010,9,3,38,0,0
6,2012-10-19,,0,69.68,3.594,225.0501013,5.329,2012,10,4,42,0,0
12,2010-09-10,903119.03,1,83.63,3.044,126.11458059999998,14.18,2010,9,3,36,0,0
4,2011-07-08,2066541.86,0,84.59,3.469,129.1125,5.644,2011,7,3,27,0,1
10,,1831676.03,0,88.44,3.112,126.1283548,9.199,,,,,0,0
6,2011-04-22,1639358.93,0,74.24,3.807,217.0146941,6.855,2011,4,2,16,0,0
7,2012-05-25,532739.77,0,50.6,3.804,197.5886046,8.09,2012,5,2,21,0,0
3,2011-01-07,,0,53.35,2.9760000000000004,214.6955104,7.551,2011,1,1,1,0,0
5,2010-11-12,301827.36,0,62.37,,212.5604113,6.768,2010,11,4,45,0,0
3,2011-10-07,403342.4,0,75.54,3.285,,7.197,2011,10,4,40,0,0
3,2010-06-04,396968.8,0,78.53,2.705,214.4958382,7.343,2010,6,2,22,0,0
3,2012-10-19,424513.08,0,73.44,3.594,226.9688442,6.034,2012,10,4,42,0,0
14,2010-06-18,2248645.59,0,72.62,2.78,182.4424199,8.899,2010,6,2,24,0,0
7,,716388.81,0,20.74,2.778,,,,,,,0,1
17,2010-06-11,845252.21,0,57.14,2.841,126.1119032,,2010,6,2,23,0,0
8,2011-08-12,856796.1,0,86.05,3.638,219.0075249,,2011,8,3,32,0,0
19,2012-04-20,1255087.26,0,55.2,4.17,137.9230667,8.15,2012,4,2,16,0,0
